MUNICIPAL SOLID WASTE DATA - INDIA,,,,,,,,,
Sources: Publically available and mentioned across each item,,,,,,,,,
,,,,,,,,,
Sr No,States and UT,MSW Generation (MMTPA),Total waste generation (tonnes/day),Total waste Collection (tonnes/day),Total waste Treatment (tonnes/day),No. of compost plants,No. of existing dumpsites - ,Collection Rate %,Treatment Rate %
,,,,,,,,,
,,2018,2017,2015,2015,2017,2019,,
,,"MINISTRY OF NEW AND RENEWABLE ENERGY , GOI","GHG Platform India (Authors - : Nikhil Kolsepatil, Anandhan Subramaniyam, Soumya Chaturvedula)",M. Balasubramanian (Cited CPCB Report),M. Balasubramanian (Cited CPCB Report),ICRIER (Authors - Isher Judge Ahluwalia & Utkarsh Patel),CPCB,,
1,Andaman & Nicobar Islands, 0.04 ,115,70,5,1,1,61%,4%
2,Andhra Pradesh & Telangana, 5.02 ,13896,10656,9418,7,183,77%,88%
3,Arunachal Pradesh, 0.07 ,181,82,74,0,31,45%,90%
4,Assam, 0.41 ,1134,350,100,1,76,31%,29%
5,Bihar, 0.83 ,14820,n/a,n/a,0,156,n/a,n/a
6,Chandigarh, 0.17 ,340,330,250,0,1,97%,76%
7,Chhattisgarh, 0.60 ,1850,1704,168,1,8,92%,10%
8,Dadra & Nagra Haveli and Daman & Diu, 0.02 ,81,67,18,1,1,83%,27%
9,Delhi, 3.83 ,10500,7000,4150,4,3,67%,59%
10,Goa, 0.09 ,240,182,182,1,9,76%,100%
11,Gujarat, 3.70 ,10145,9227,1354,15,170,91%,15%
12,Haryana, 1.65 ,4514,3440,570,4,65,76%,17%
13,Himachal Pradesh, 0.12 ,342,240,150,0,27,70%,63%
14,Jammu & Kashmir, 0.50 ,1792,1322,320,0,9,74%,24%
15,Jharkhand, 0.85 ,3570,2350,65,0,42,66%,3%
16,Karnataka, 3.65 ,10000,7602,2000,18,215,76%,26%
17,Kerala, 0.23 ,1576,776,470,3,52,49%,61%
18,Lakshadweep, n/a ,n/a,n/a,n/a,0,0,n/a,n/a
19,Madhya Pradesh, 2.34 ,5079,4298,802,1,378,85%,19%
20,Maharashtra, 8.24 ,26820,14900,4700,13,327,56%,32%
21,Manipur, 0.06 ,176,125,0,0,21,71%,0%
22,Meghalaya, 0.10 ,268,199,98,0,6,74%,49%
23,Mizoram, 0.07 ,276,239,0,0,1,87%,0%
24,Nagaland, 0.12 ,342,186,18,0,13,54%,10%
25,Orrisa, 0.99 ,2460,2107,30,0,112,86%,1%
26,Puducherry, 0.13 ,495,495,0,0,3,100%,0%
27,Punjab, 1.50 ,4100,3853,32,2,150,94%,1%
28,Rajasthan, 2.37 ,6400,2491,490,1,195,39%,20%
29,Sikkim, 0.03 ,89,49,0.3,0,2,55%,1%
30,Tamil Nadu, 5.60 ,15272,14234,1607,9,140,93%,11%
31,Tripura, 0.15 ,421,407,0,1,17,97%,0%
32,Uttar Pradesh, 6.13 ,19180,15500,5197,7,609,81%,34%
33,Uttarakhand, 0.51 ,1400,1013,0,0,42,72%,0%
34,West Bengal, 2.81 ,8675,7196,1415,5,88,83%,20%
,Total, 52.97 ,166549,112690,33683.3,95,3153,68%,30%
